date,leading_momentum
01/01/2004,0.44
02/01/2004,0.41
05/01/2004,0.39
06/01/2004,0.37
07/01/2004,0.34
08/01/2004,0.31
09/01/2004,0.29
12/01/2004,0.27
13/01/2004,0.25
14/01/2004,0.23
15/01/2004,0.2
16/01/2004,0.18
19/01/2004,0.15
20/01/2004,0.13
21/01/2004,0.1
22/01/2004,0.08
23/01/2004,0.05
26/01/2004,0.02
27/01/2004,0.01
28/01/2004,-0.01
29/01/2004,-0.02
30/01/2004,-0.04
02/02/2004,-0.06
03/02/2004,-0.07
04/02/2004,-0.08
05/02/2004,-0.09
06/02/2004,-0.1
09/02/2004,-0.1
10/02/2004,-0.11
11/02/2004,-0.12
12/02/2004,-0.12
13/02/2004,-0.13
16/02/2004,-0.13
17/02/2004,-0.13
18/02/2004,-0.13
19/02/2004,-0.12
20/02/2004,-0.12
23/02/2004,-0.12
24/02/2004,-0.11
25/02/2004,-0.1
26/02/2004,-0.08
27/02/2004,-0.06
01/03/2004,-0.04
02/03/2004,-0.02
03/03/2004,0
04/03/2004,0.02
05/03/2004,0.04
08/03/2004,0.06
09/03/2004,0.08
10/03/2004,0.09
11/03/2004,0.11
12/03/2004,0.12
15/03/2004,0.13
16/03/2004,0.13
17/03/2004,0.14
18/03/2004,0.14
19/03/2004,0.14
22/03/2004,0.13
23/03/2004,0.13
24/03/2004,0.12
25/03/2004,0.11
26/03/2004,0.11
29/03/2004,0.09
30/03/2004,0.08
31/03/2004,0.07
01/04/2004,0.06
02/04/2004,0.05
05/04/2004,0.04
06/04/2004,0.02
07/04/2004,0
08/04/2004,-0.02
09/04/2004,-0.04
12/04/2004,-0.06
13/04/2004,-0.08
14/04/2004,-0.1
15/04/2004,-0.12
16/04/2004,-0.14
19/04/2004,-0.16
20/04/2004,-0.17
21/04/2004,-0.19
22/04/2004,-0.2
23/04/2004,-0.21
26/04/2004,-0.22
27/04/2004,-0.22
28/04/2004,-0.23
29/04/2004,-0.22
30/04/2004,-0.22
03/05/2004,-0.21
04/05/2004,-0.21
05/05/2004,-0.21
06/05/2004,-0.2
07/05/2004,-0.2
10/05/2004,-0.2
11/05/2004,-0.2
12/05/2004,-0.19
13/05/2004,-0.19
14/05/2004,-0.18
17/05/2004,-0.18
18/05/2004,-0.18
19/05/2004,-0.17
20/05/2004,-0.17
21/05/2004,-0.17
24/05/2004,-0.17
25/05/2004,-0.16
26/05/2004,-0.16
27/05/2004,-0.15
28/05/2004,-0.15
31/05/2004,-0.14
01/06/2004,-0.14
02/06/2004,-0.13
03/06/2004,-0.13
04/06/2004,-0.12
07/06/2004,-0.11
08/06/2004,-0.09
09/06/2004,-0.08
10/06/2004,-0.07
11/06/2004,-0.05
14/06/2004,-0.04
15/06/2004,-0.02
16/06/2004,0
17/06/2004,0.02
18/06/2004,0.03
21/06/2004,0.05
22/06/2004,0.07
23/06/2004,0.08
24/06/2004,0.09
25/06/2004,0.11
28/06/2004,0.12
29/06/2004,0.13
30/06/2004,0.15
01/07/2004,0.16
02/07/2004,0.17
05/07/2004,0.18
06/07/2004,0.19
07/07/2004,0.2
08/07/2004,0.2
09/07/2004,0.2
12/07/2004,0.2
13/07/2004,0.2
14/07/2004,0.19
15/07/2004,0.17
16/07/2004,0.15
19/07/2004,0.13
20/07/2004,0.1
21/07/2004,0.08
22/07/2004,0.05
23/07/2004,0.03
26/07/2004,0
27/07/2004,-0.02
28/07/2004,-0.05
29/07/2004,-0.07
30/07/2004,-0.09
02/08/2004,-0.1
03/08/2004,-0.11
04/08/2004,-0.12
05/08/2004,-0.14
06/08/2004,-0.15
09/08/2004,-0.17
10/08/2004,-0.18
11/08/2004,-0.2
12/08/2004,-0.22
13/08/2004,-0.23
16/08/2004,-0.25
17/08/2004,-0.27
18/08/2004,-0.29
19/08/2004,-0.3
20/08/2004,-0.31
23/08/2004,-0.32
24/08/2004,-0.32
25/08/2004,-0.32
26/08/2004,-0.32
27/08/2004,-0.32
30/08/2004,-0.32
31/08/2004,-0.33
01/09/2004,-0.33
02/09/2004,-0.33
03/09/2004,-0.34
06/09/2004,-0.34
07/09/2004,-0.34
08/09/2004,-0.34
09/09/2004,-0.35
10/09/2004,-0.36
13/09/2004,-0.37
14/09/2004,-0.38
15/09/2004,-0.39
16/09/2004,-0.4
17/09/2004,-0.4
20/09/2004,-0.4
21/09/2004,-0.41
22/09/2004,-0.4
23/09/2004,-0.4
24/09/2004,-0.4
27/09/2004,-0.4
28/09/2004,-0.39
29/09/2004,-0.39
30/09/2004,-0.38
01/10/2004,-0.39
04/10/2004,-0.39
05/10/2004,-0.39
06/10/2004,-0.4
07/10/2004,-0.4
08/10/2004,-0.4
11/10/2004,-0.4
12/10/2004,-0.4
13/10/2004,-0.4
14/10/2004,-0.4
15/10/2004,-0.4
18/10/2004,-0.4
19/10/2004,-0.41
20/10/2004,-0.41
21/10/2004,-0.41
22/10/2004,-0.42
25/10/2004,-0.42
26/10/2004,-0.43
27/10/2004,-0.43
28/10/2004,-0.44
29/10/2004,-0.45
01/11/2004,-0.45
02/11/2004,-0.46
03/11/2004,-0.47
04/11/2004,-0.48
05/11/2004,-0.49
08/11/2004,-0.5
09/11/2004,-0.51
10/11/2004,-0.52
11/11/2004,-0.52
12/11/2004,-0.52
15/11/2004,-0.52
16/11/2004,-0.52
17/11/2004,-0.52
18/11/2004,-0.53
19/11/2004,-0.53
22/11/2004,-0.53
23/11/2004,-0.53
24/11/2004,-0.53
25/11/2004,-0.54
26/11/2004,-0.54
29/11/2004,-0.54
30/11/2004,-0.54
01/12/2004,-0.54
02/12/2004,-0.53
03/12/2004,-0.53
06/12/2004,-0.53
07/12/2004,-0.52
08/12/2004,-0.51
09/12/2004,-0.51
10/12/2004,-0.5
13/12/2004,-0.49
14/12/2004,-0.49
15/12/2004,-0.48
16/12/2004,-0.48
17/12/2004,-0.47
20/12/2004,-0.47
21/12/2004,-0.46
22/12/2004,-0.46
23/12/2004,-0.45
24/12/2004,-0.45
27/12/2004,-0.44
28/12/2004,-0.43
29/12/2004,-0.41
30/12/2004,-0.4
31/12/2004,-0.39
03/01/2005,-0.38
04/01/2005,-0.36
05/01/2005,-0.35
06/01/2005,-0.34
07/01/2005,-0.33
10/01/2005,-0.31
11/01/2005,-0.3
12/01/2005,-0.29
13/01/2005,-0.28
14/01/2005,-0.27
17/01/2005,-0.25
18/01/2005,-0.23
19/01/2005,-0.21
20/01/2005,-0.19
21/01/2005,-0.17
24/01/2005,-0.15
25/01/2005,-0.13
26/01/2005,-0.12
27/01/2005,-0.1
28/01/2005,-0.09
31/01/2005,-0.07
01/02/2005,-0.05
02/02/2005,-0.04
03/02/2005,-0.02
04/02/2005,-0.01
07/02/2005,0.01
08/02/2005,0.02
09/02/2005,0.03
10/02/2005,0.05
11/02/2005,0.06
14/02/2005,0.07
15/02/2005,0.08
16/02/2005,0.09
17/02/2005,0.09
18/02/2005,0.11
21/02/2005,0.12
22/02/2005,0.13
23/02/2005,0.15
24/02/2005,0.16
25/02/2005,0.17
28/02/2005,0.18
01/03/2005,0.18
02/03/2005,0.19
03/03/2005,0.2
04/03/2005,0.2
07/03/2005,0.2
08/03/2005,0.21
09/03/2005,0.22
10/03/2005,0.22
11/03/2005,0.23
14/03/2005,0.24
15/03/2005,0.24
16/03/2005,0.25
17/03/2005,0.25
18/03/2005,0.25
21/03/2005,0.26
22/03/2005,0.26
23/03/2005,0.26
24/03/2005,0.27
25/03/2005,0.27
28/03/2005,0.28
29/03/2005,0.28
30/03/2005,0.29
31/03/2005,0.28
01/04/2005,0.28
04/04/2005,0.28
05/04/2005,0.27
06/04/2005,0.26
07/04/2005,0.26
08/04/2005,0.25
11/04/2005,0.25
12/04/2005,0.25
13/04/2005,0.26
14/04/2005,0.27
15/04/2005,0.28
18/04/2005,0.29
19/04/2005,0.3
20/04/2005,0.3
21/04/2005,0.31
22/04/2005,0.32
25/04/2005,0.33
26/04/2005,0.34
27/04/2005,0.35
28/04/2005,0.35
29/04/2005,0.36
02/05/2005,0.37
03/05/2005,0.37
04/05/2005,0.37
05/05/2005,0.37
06/05/2005,0.37
09/05/2005,0.36
10/05/2005,0.36
11/05/2005,0.36
12/05/2005,0.36
13/05/2005,0.36
16/05/2005,0.36
17/05/2005,0.37
18/05/2005,0.37
19/05/2005,0.37
20/05/2005,0.36
23/05/2005,0.35
24/05/2005,0.34
25/05/2005,0.33
26/05/2005,0.32
27/05/2005,0.31
30/05/2005,0.31
31/05/2005,0.3
01/06/2005,0.29
02/06/2005,0.29
03/06/2005,0.28
06/06/2005,0.27
07/06/2005,0.26
08/06/2005,0.25
09/06/2005,0.24
10/06/2005,0.23
13/06/2005,0.23
14/06/2005,0.22
15/06/2005,0.22
16/06/2005,0.22
17/06/2005,0.22
20/06/2005,0.22
21/06/2005,0.22
22/06/2005,0.22
23/06/2005,0.21
24/06/2005,0.21
27/06/2005,0.21
28/06/2005,0.2
29/06/2005,0.2
30/06/2005,0.2
01/07/2005,0.2
04/07/2005,0.21
05/07/2005,0.21
06/07/2005,0.21
07/07/2005,0.22
08/07/2005,0.22
11/07/2005,0.22
