date,leading_momentum
01/01/2004,0.61
02/01/2004,0.58
05/01/2004,0.54
06/01/2004,0.52
07/01/2004,0.5
08/01/2004,0.47
09/01/2004,0.44
12/01/2004,0.43
13/01/2004,0.42
14/01/2004,0.41
15/01/2004,0.4
16/01/2004,0.4
19/01/2004,0.4
20/01/2004,0.4
21/01/2004,0.4
22/01/2004,0.4
23/01/2004,0.41
26/01/2004,0.41
27/01/2004,0.41
28/01/2004,0.41
29/01/2004,0.41
30/01/2004,0.41
02/02/2004,0.41
03/02/2004,0.41
04/02/2004,0.42
05/02/2004,0.43
06/02/2004,0.45
09/02/2004,0.46
10/02/2004,0.47
11/02/2004,0.47
12/02/2004,0.48
13/02/2004,0.49
16/02/2004,0.49
17/02/2004,0.5
18/02/2004,0.51
19/02/2004,0.52
20/02/2004,0.51
23/02/2004,0.52
24/02/2004,0.53
25/02/2004,0.53
26/02/2004,0.51
27/02/2004,0.49
01/03/2004,0.48
02/03/2004,0.46
03/03/2004,0.44
04/03/2004,0.42
05/03/2004,0.4
08/03/2004,0.39
09/03/2004,0.38
10/03/2004,0.37
11/03/2004,0.36
12/03/2004,0.35
15/03/2004,0.34
16/03/2004,0.33
17/03/2004,0.32
18/03/2004,0.31
19/03/2004,0.3
22/03/2004,0.29
23/03/2004,0.28
24/03/2004,0.27
25/03/2004,0.25
26/03/2004,0.26
29/03/2004,0.26
30/03/2004,0.26
31/03/2004,0.26
01/04/2004,0.26
02/04/2004,0.26
05/04/2004,0.25
06/04/2004,0.26
07/04/2004,0.27
08/04/2004,0.3
09/04/2004,0.33
12/04/2004,0.36
13/04/2004,0.39
14/04/2004,0.42
15/04/2004,0.46
16/04/2004,0.49
19/04/2004,0.52
20/04/2004,0.54
21/04/2004,0.57
22/04/2004,0.6
23/04/2004,0.63
26/04/2004,0.67
27/04/2004,0.71
28/04/2004,0.75
29/04/2004,0.8
30/04/2004,0.84
03/05/2004,0.9
04/05/2004,0.95
05/05/2004,1.01
06/05/2004,1.05
07/05/2004,1.09
10/05/2004,1.13
11/05/2004,1.16
12/05/2004,1.19
13/05/2004,1.22
14/05/2004,1.25
17/05/2004,1.28
18/05/2004,1.31
19/05/2004,1.33
20/05/2004,1.35
21/05/2004,1.37
24/05/2004,1.38
25/05/2004,1.4
26/05/2004,1.42
27/05/2004,1.44
28/05/2004,1.45
31/05/2004,1.45
01/06/2004,1.45
02/06/2004,1.44
03/06/2004,1.44
04/06/2004,1.43
07/06/2004,1.41
08/06/2004,1.4
09/06/2004,1.37
10/06/2004,1.36
11/06/2004,1.34
14/06/2004,1.32
15/06/2004,1.31
16/06/2004,1.29
17/06/2004,1.28
18/06/2004,1.27
21/06/2004,1.26
22/06/2004,1.25
23/06/2004,1.24
24/06/2004,1.22
25/06/2004,1.19
28/06/2004,1.17
29/06/2004,1.15
30/06/2004,1.14
01/07/2004,1.12
02/07/2004,1.11
05/07/2004,1.09
06/07/2004,1.07
