date,leading_momentum
01/01/2004,0.45
02/01/2004,0.43
05/01/2004,0.42
06/01/2004,0.4
07/01/2004,0.39
08/01/2004,0.37
09/01/2004,0.36
12/01/2004,0.35
13/01/2004,0.33
14/01/2004,0.32
15/01/2004,0.31
16/01/2004,0.3
19/01/2004,0.29
20/01/2004,0.29
21/01/2004,0.29
22/01/2004,0.29
23/01/2004,0.3
26/01/2004,0.3
27/01/2004,0.3
28/01/2004,0.3
29/01/2004,0.31
30/01/2004,0.31
02/02/2004,0.31
03/02/2004,0.31
04/02/2004,0.31
05/02/2004,0.31
06/02/2004,0.31
09/02/2004,0.3
10/02/2004,0.3
11/02/2004,0.31
12/02/2004,0.31
13/02/2004,0.32
16/02/2004,0.32
17/02/2004,0.33
18/02/2004,0.33
19/02/2004,0.33
20/02/2004,0.34
23/02/2004,0.34
24/02/2004,0.35
25/02/2004,0.35
26/02/2004,0.36
27/02/2004,0.36
01/03/2004,0.36
02/03/2004,0.35
03/03/2004,0.35
04/03/2004,0.34
05/03/2004,0.34
08/03/2004,0.34
09/03/2004,0.34
10/03/2004,0.34
11/03/2004,0.34
12/03/2004,0.34
15/03/2004,0.34
16/03/2004,0.35
17/03/2004,0.35
18/03/2004,0.36
19/03/2004,0.36
22/03/2004,0.37
23/03/2004,0.37
24/03/2004,0.38
25/03/2004,0.38
26/03/2004,0.39
29/03/2004,0.39
30/03/2004,0.39
31/03/2004,0.4
01/04/2004,0.4
02/04/2004,0.41
05/04/2004,0.4
06/04/2004,0.4
07/04/2004,0.39
08/04/2004,0.39
09/04/2004,0.38
12/04/2004,0.38
13/04/2004,0.37
14/04/2004,0.37
15/04/2004,0.37
16/04/2004,0.37
19/04/2004,0.37
20/04/2004,0.37
21/04/2004,0.37
22/04/2004,0.37
23/04/2004,0.37
26/04/2004,0.37
27/04/2004,0.37
28/04/2004,0.37
29/04/2004,0.37
30/04/2004,0.37
03/05/2004,0.37
04/05/2004,0.38
05/05/2004,0.38
06/05/2004,0.38
07/05/2004,0.39
10/05/2004,0.39
11/05/2004,0.39
12/05/2004,0.4
13/05/2004,0.4
14/05/2004,0.42
17/05/2004,0.45
18/05/2004,0.47
19/05/2004,0.49
20/05/2004,0.51
21/05/2004,0.54
24/05/2004,0.56
25/05/2004,0.58
26/05/2004,0.6
27/05/2004,0.61
28/05/2004,0.63
31/05/2004,0.64
01/06/2004,0.65
02/06/2004,0.67
03/06/2004,0.68
04/06/2004,0.69
07/06/2004,0.71
08/06/2004,0.71
09/06/2004,0.72
10/06/2004,0.72
11/06/2004,0.73
14/06/2004,0.75
15/06/2004,0.76
16/06/2004,0.77
17/06/2004,0.79
18/06/2004,0.8
21/06/2004,0.81
22/06/2004,0.83
23/06/2004,0.84
24/06/2004,0.84
25/06/2004,0.85
28/06/2004,0.85
29/06/2004,0.85
30/06/2004,0.85
01/07/2004,0.86
02/07/2004,0.86
05/07/2004,0.86
06/07/2004,0.86
07/07/2004,0.87
08/07/2004,0.87
09/07/2004,0.87
12/07/2004,0.88
13/07/2004,0.88
14/07/2004,0.88
15/07/2004,0.88
16/07/2004,0.88
19/07/2004,0.89
20/07/2004,0.9
21/07/2004,0.9
22/07/2004,0.9
23/07/2004,0.9
26/07/2004,0.89
27/07/2004,0.89
28/07/2004,0.88
29/07/2004,0.88
30/07/2004,0.87
02/08/2004,0.87
03/08/2004,0.86
04/08/2004,0.86
05/08/2004,0.85
06/08/2004,0.85
09/08/2004,0.85
10/08/2004,0.84
11/08/2004,0.84
12/08/2004,0.83
13/08/2004,0.82
16/08/2004,0.82
17/08/2004,0.81
18/08/2004,0.8
19/08/2004,0.79
20/08/2004,0.79
23/08/2004,0.78
24/08/2004,0.77
25/08/2004,0.76
26/08/2004,0.76
27/08/2004,0.76
30/08/2004,0.75
31/08/2004,0.75
01/09/2004,0.75
02/09/2004,0.73
03/09/2004,0.72
06/09/2004,0.71
07/09/2004,0.7
08/09/2004,0.68
09/09/2004,0.67
10/09/2004,0.66
13/09/2004,0.64
14/09/2004,0.63
15/09/2004,0.62
