date,leading_momentum
01/01/2004,2.13
02/01/2004,2.23
05/01/2004,2.32
06/01/2004,2.41
07/01/2004,2.48
08/01/2004,2.53
09/01/2004,2.58
12/01/2004,2.63
13/01/2004,2.68
14/01/2004,2.73
15/01/2004,2.77
16/01/2004,2.81
19/01/2004,2.82
20/01/2004,2.83
21/01/2004,2.83
22/01/2004,2.82
23/01/2004,2.81
26/01/2004,2.78
27/01/2004,2.74
28/01/2004,2.7
29/01/2004,2.64
30/01/2004,2.59
02/02/2004,2.51
03/02/2004,2.44
04/02/2004,2.37
05/02/2004,2.28
06/02/2004,2.2
09/02/2004,2.11
10/02/2004,2.01
11/02/2004,1.91
12/02/2004,1.8
13/02/2004,1.7
16/02/2004,1.61
17/02/2004,1.51
18/02/2004,1.42
19/02/2004,1.34
20/02/2004,1.27
23/02/2004,1.19
24/02/2004,1.12
25/02/2004,1.03
26/02/2004,0.95
27/02/2004,0.89
01/03/2004,0.84
02/03/2004,0.81
03/03/2004,0.78
04/03/2004,0.74
05/03/2004,0.71
08/03/2004,0.7
09/03/2004,0.69
10/03/2004,0.67
11/03/2004,0.68
12/03/2004,0.71
15/03/2004,0.73
16/03/2004,0.75
17/03/2004,0.79
18/03/2004,0.81
19/03/2004,0.82
22/03/2004,0.84
23/03/2004,0.86
24/03/2004,0.9
25/03/2004,0.92
26/03/2004,0.94
29/03/2004,0.99
30/03/2004,1.01
31/03/2004,1.02
01/04/2004,1.04
02/04/2004,1.05
05/04/2004,1.06
06/04/2004,1.07
07/04/2004,1.06
08/04/2004,1.04
09/04/2004,1.01
12/04/2004,0.96
13/04/2004,0.92
14/04/2004,0.88
15/04/2004,0.83
16/04/2004,0.75
19/04/2004,0.67
20/04/2004,0.6
21/04/2004,0.51
22/04/2004,0.42
23/04/2004,0.32
26/04/2004,0.22
27/04/2004,0.1
28/04/2004,-0.01
29/04/2004,-0.09
30/04/2004,-0.13
03/05/2004,-0.18
04/05/2004,-0.24
05/05/2004,-0.29
06/05/2004,-0.34
07/05/2004,-0.4
10/05/2004,-0.45
11/05/2004,-0.48
12/05/2004,-0.52
13/05/2004,-0.55
14/05/2004,-0.58
17/05/2004,-0.61
18/05/2004,-0.63
19/05/2004,-0.65
20/05/2004,-0.67
21/05/2004,-0.69
24/05/2004,-0.71
25/05/2004,-0.73
26/05/2004,-0.74
27/05/2004,-0.73
28/05/2004,-0.72
31/05/2004,-0.71
01/06/2004,-0.7
02/06/2004,-0.69
03/06/2004,-0.66
04/06/2004,-0.62
07/06/2004,-0.54
08/06/2004,-0.48
09/06/2004,-0.42
10/06/2004,-0.38
11/06/2004,-0.35
14/06/2004,-0.31
15/06/2004,-0.27
16/06/2004,-0.23
17/06/2004,-0.18
18/06/2004,-0.14
21/06/2004,-0.09
22/06/2004,-0.04
23/06/2004,0
24/06/2004,0.07
25/06/2004,0.1
28/06/2004,0.15
29/06/2004,0.2
30/06/2004,0.25
01/07/2004,0.29
02/07/2004,0.33
05/07/2004,0.37
06/07/2004,0.4
07/07/2004,0.43
08/07/2004,0.44
09/07/2004,0.46
12/07/2004,0.47
13/07/2004,0.49
14/07/2004,0.52
15/07/2004,0.52
16/07/2004,0.51
19/07/2004,0.49
20/07/2004,0.44
21/07/2004,0.39
22/07/2004,0.35
23/07/2004,0.27
26/07/2004,0.19
27/07/2004,0.12
28/07/2004,0.06
29/07/2004,0
30/07/2004,-0.03
02/08/2004,-0.06
03/08/2004,-0.08
04/08/2004,-0.1
05/08/2004,-0.11
06/08/2004,-0.13
09/08/2004,-0.14
10/08/2004,-0.16
11/08/2004,-0.18
12/08/2004,-0.18
13/08/2004,-0.19
16/08/2004,-0.2
17/08/2004,-0.21
18/08/2004,-0.21
19/08/2004,-0.22
20/08/2004,-0.23
23/08/2004,-0.24
24/08/2004,-0.25
25/08/2004,-0.26
26/08/2004,-0.25
27/08/2004,-0.23
30/08/2004,-0.18
31/08/2004,-0.14
01/09/2004,-0.11
02/09/2004,-0.04
03/09/2004,0.02
06/09/2004,0.08
07/09/2004,0.14
08/09/2004,0.2
09/09/2004,0.23
10/09/2004,0.27
13/09/2004,0.31
14/09/2004,0.31
15/09/2004,0.33
16/09/2004,0.34
17/09/2004,0.31
20/09/2004,0.29
21/09/2004,0.28
22/09/2004,0.25
23/09/2004,0.22
24/09/2004,0.2
27/09/2004,0.18
28/09/2004,0.15
29/09/2004,0.14
30/09/2004,0.14
01/10/2004,0.14
04/10/2004,0.14
05/10/2004,0.14
06/10/2004,0.13
07/10/2004,0.13
08/10/2004,0.12
11/10/2004,0.11
12/10/2004,0.08
13/10/2004,0.06
14/10/2004,0.04
15/10/2004,0.01
18/10/2004,-0.02
19/10/2004,-0.05
20/10/2004,-0.09
21/10/2004,-0.15
22/10/2004,-0.22
25/10/2004,-0.28
26/10/2004,-0.33
27/10/2004,-0.39
28/10/2004,-0.41
29/10/2004,-0.42
01/11/2004,-0.42
02/11/2004,-0.44
03/11/2004,-0.45
04/11/2004,-0.46
05/11/2004,-0.46
08/11/2004,-0.46
09/11/2004,-0.48
10/11/2004,-0.53
11/11/2004,-0.57
12/11/2004,-0.58
15/11/2004,-0.6
16/11/2004,-0.62
17/11/2004,-0.63
18/11/2004,-0.63
19/11/2004,-0.63
22/11/2004,-0.63
23/11/2004,-0.62
24/11/2004,-0.62
25/11/2004,-0.65
26/11/2004,-0.67
29/11/2004,-0.7
30/11/2004,-0.72
01/12/2004,-0.75
02/12/2004,-0.76
03/12/2004,-0.77
06/12/2004,-0.78
07/12/2004,-0.78
08/12/2004,-0.79
09/12/2004,-0.81
10/12/2004,-0.8
13/12/2004,-0.8
14/12/2004,-0.8
15/12/2004,-0.81
16/12/2004,-0.82
17/12/2004,-0.85
20/12/2004,-0.85
21/12/2004,-0.86
22/12/2004,-0.88
23/12/2004,-0.92
24/12/2004,-0.97
27/12/2004,-1.01
28/12/2004,-1.06
29/12/2004,-1.13
30/12/2004,-1.2
31/12/2004,-1.25
03/01/2005,-1.32
04/01/2005,-1.37
05/01/2005,-1.4
06/01/2005,-1.42
07/01/2005,-1.44
10/01/2005,-1.47
11/01/2005,-1.49
12/01/2005,-1.51
13/01/2005,-1.54
14/01/2005,-1.56
17/01/2005,-1.59
18/01/2005,-1.62
19/01/2005,-1.65
20/01/2005,-1.7
21/01/2005,-1.74
24/01/2005,-1.77
25/01/2005,-1.8
26/01/2005,-1.84
27/01/2005,-1.86
28/01/2005,-1.88
31/01/2005,-1.9
01/02/2005,-1.88
02/02/2005,-1.86
03/02/2005,-1.84
04/02/2005,-1.82
07/02/2005,-1.79
08/02/2005,-1.76
09/02/2005,-1.73
10/02/2005,-1.7
11/02/2005,-1.66
14/02/2005,-1.64
15/02/2005,-1.6
16/02/2005,-1.56
17/02/2005,-1.54
18/02/2005,-1.5
21/02/2005,-1.46
22/02/2005,-1.42
23/02/2005,-1.39
24/02/2005,-1.36
25/02/2005,-1.32
28/02/2005,-1.29
01/03/2005,-1.24
02/03/2005,-1.2
03/03/2005,-1.15
04/03/2005,-1.11
07/03/2005,-1.08
08/03/2005,-1.05
09/03/2005,-1.01
10/03/2005,-0.98
11/03/2005,-0.96
14/03/2005,-0.95
15/03/2005,-0.94
16/03/2005,-0.93
17/03/2005,-0.91
18/03/2005,-0.91
21/03/2005,-0.91
22/03/2005,-0.9
23/03/2005,-0.94
24/03/2005,-0.98
25/03/2005,-1.05
28/03/2005,-1.13
29/03/2005,-1.18
30/03/2005,-1.21
31/03/2005,-1.27
01/04/2005,-1.34
04/04/2005,-1.4
05/04/2005,-1.45
06/04/2005,-1.5
07/04/2005,-1.56
08/04/2005,-1.6
