date,leading_momentum
01/01/2004,-1.51
02/01/2004,-1.55
05/01/2004,-1.59
06/01/2004,-1.61
07/01/2004,-1.62
08/01/2004,-1.62
09/01/2004,-1.62
12/01/2004,-1.61
13/01/2004,-1.6
14/01/2004,-1.58
15/01/2004,-1.57
16/01/2004,-1.55
19/01/2004,-1.53
20/01/2004,-1.5
21/01/2004,-1.45
22/01/2004,-1.4
23/01/2004,-1.35
26/01/2004,-1.29
27/01/2004,-1.23
28/01/2004,-1.17
29/01/2004,-1.12
30/01/2004,-1.07
02/02/2004,-1.03
03/02/2004,-0.99
04/02/2004,-0.93
05/02/2004,-0.88
06/02/2004,-0.82
09/02/2004,-0.76
10/02/2004,-0.71
11/02/2004,-0.65
12/02/2004,-0.6
13/02/2004,-0.54
16/02/2004,-0.49
17/02/2004,-0.45
18/02/2004,-0.41
19/02/2004,-0.36
20/02/2004,-0.31
23/02/2004,-0.25
24/02/2004,-0.2
25/02/2004,-0.14
26/02/2004,-0.08
27/02/2004,-0.01
01/03/2004,0.04
02/03/2004,0.1
03/03/2004,0.16
04/03/2004,0.21
05/03/2004,0.25
08/03/2004,0.3
09/03/2004,0.35
10/03/2004,0.41
11/03/2004,0.47
12/03/2004,0.53
15/03/2004,0.59
16/03/2004,0.63
17/03/2004,0.67
18/03/2004,0.72
19/03/2004,0.75
22/03/2004,0.79
23/03/2004,0.81
24/03/2004,0.85
25/03/2004,0.89
26/03/2004,0.93
29/03/2004,0.96
30/03/2004,0.99
31/03/2004,1
01/04/2004,1
02/04/2004,1.01
05/04/2004,1.01
06/04/2004,1.01
07/04/2004,1
08/04/2004,0.99
09/04/2004,0.98
12/04/2004,0.97
13/04/2004,0.97
14/04/2004,0.96
15/04/2004,0.96
16/04/2004,0.96
19/04/2004,0.97
20/04/2004,0.98
21/04/2004,1
22/04/2004,1.02
23/04/2004,1.04
26/04/2004,1.07
27/04/2004,1.09
28/04/2004,1.11
29/04/2004,1.16
30/04/2004,1.2
03/05/2004,1.25
04/05/2004,1.29
05/05/2004,1.32
06/05/2004,1.36
07/05/2004,1.4
10/05/2004,1.44
11/05/2004,1.49
12/05/2004,1.54
13/05/2004,1.59
14/05/2004,1.65
17/05/2004,1.71
18/05/2004,1.77
19/05/2004,1.82
20/05/2004,1.86
21/05/2004,1.91
24/05/2004,1.95
25/05/2004,1.98
26/05/2004,2
27/05/2004,2.02
28/05/2004,2.04
31/05/2004,2.06
01/06/2004,2.06
02/06/2004,2.07
03/06/2004,2.07
04/06/2004,2.08
07/06/2004,2.09
08/06/2004,2.1
09/06/2004,2.1
10/06/2004,2.1
11/06/2004,2.09
14/06/2004,2.07
15/06/2004,2.06
16/06/2004,2.05
17/06/2004,2.07
18/06/2004,2.09
21/06/2004,2.11
22/06/2004,2.13
23/06/2004,2.14
24/06/2004,2.15
25/06/2004,2.15
28/06/2004,2.15
29/06/2004,2.14
30/06/2004,2.14
01/07/2004,2.13
02/07/2004,2.12
05/07/2004,2.13
