date,au_employment_index,ca_employment_index,cn_employment_index,eu_employment_index,gb_employment_index,jp_employment_index,us_employment_index
1/01/2004,108.58,98.33,108.28,100.25,111.3,100.38,62.7
2/01/2004,108.58,98.33,108.28,100.25,111.3,100.38,62.7
5/01/2004,108.58,98.33,108.28,100.25,111.3,100.38,62.7
6/01/2004,108.58,98.33,108.28,100.25,111.3,100.38,62.7
7/01/2004,108.58,98.33,108.28,100.25,111.3,100.38,62.7
8/01/2004,108.58,98.33,108.28,100.65,111.3,100.38,63
9/01/2004,108.58,98.41,108.46,100.65,111.3,100.38,63.14
12/01/2004,108.58,98.41,108.46,100.65,111.3,100.38,63.14
13/01/2004,108.58,98.41,108.46,100.65,111.3,100.38,63.14
14/01/2004,108.58,98.41,108.46,100.65,111.82,100.38,63.14
15/01/2004,108.82,98.41,108.46,100.65,111.82,100.38,64.34
16/01/2004,108.82,98.41,108.46,100.65,111.82,100.38,64.34
19/01/2004,108.82,98.41,108.46,100.65,111.82,100.38,64.34
20/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.34
21/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.34
22/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.33
23/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.33
26/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.33
27/01/2004,108.82,98.41,110.31,100.65,111.82,100.38,64.33
28/01/2004,108.82,98.41,110.31,100.66,111.82,100.38,64.33
29/01/2004,108.82,98.41,110.31,100.66,111.82,101.38,65.05
30/01/2004,108.82,98.41,110.31,100.66,111.82,101.38,65.05
2/02/2004,108.82,98.41,110.31,100.66,111.82,101.38,65.05
3/02/2004,108.82,98.41,110.31,100.66,111.82,101.38,65.05
4/02/2004,108.82,98.41,110.31,100.66,111.82,101.38,65.05
5/02/2004,108.82,98.41,110.31,101.66,111.82,101.38,65.44
6/02/2004,108.82,98.23,110.31,101.66,111.82,101.38,65.86
9/02/2004,108.82,98.23,110.31,101.66,111.82,101.38,65.86
10/02/2004,108.82,98.23,110.31,102.3,111.82,101.38,65.86
11/02/2004,108.82,98.23,109.93,102.3,112.6,101.38,65.86
12/02/2004,108.5,98.23,109.61,102.3,112.6,101.38,66.58
13/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.58
16/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.58
17/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.58
18/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.58
19/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.46
20/02/2004,108.5,98.23,109.61,101.8,112.6,101.38,66.46
23/02/2004,108.5,98.23,110.03,101.8,112.6,101.38,66.46
24/02/2004,108.5,98.23,110.03,101.8,112.6,101.38,66.46
25/02/2004,108.5,98.23,110.03,101.8,112.6,101.38,66.46
26/02/2004,108.5,98.23,110.03,101.8,112.6,101.19,66.94
27/02/2004,108.5,98.23,110.03,101.8,112.6,101.19,66.94
1/03/2004,108.5,98.23,110.03,101.8,112.6,101.19,66.94
2/03/2004,108.5,98.23,110.03,101.8,112.6,101.19,66.94
3/03/2004,108.5,98.23,110.03,101.8,112.6,101.19,66.94
4/03/2004,108.5,98.23,110.03,101.06,112.6,101.19,67.75
5/03/2004,108.5,98.23,110.03,101.06,112.6,101.19,67.65
8/03/2004,108.5,98.23,110.03,101.06,112.6,101.19,67.65
9/03/2004,108.5,98.23,109.33,101.06,112.6,101.19,67.65
10/03/2004,108.5,98.23,110.03,101.06,112.6,101.19,67.65
11/03/2004,107.94,98.23,110.03,101.07,112.6,101.19,69.03
12/03/2004,107.94,97.61,109.65,101.07,112.6,101.19,69.03
15/03/2004,107.94,97.61,109.65,101.07,112.6,101.19,69.03
16/03/2004,107.94,97.61,109.65,101.07,112.6,101.19,69.03
17/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
18/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
19/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
22/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
23/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
24/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.03
25/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.51
26/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.51
29/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.51
30/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.51
31/03/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.51
1/04/2004,107.94,97.61,110.65,101.07,113.12,101.19,68.73
2/04/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.27
5/04/2004,107.94,97.61,110.65,101.07,113.12,101.19,69.27
6/04/2004,107.94,97.61,110.65,100.29,113.12,101.19,69.27
7/04/2004,107.94,97.61,110.65,100.29,113.12,101.19,69.27
8/04/2004,109.08,97.71,110.65,100.29,113.12,101.19,70.41
9/04/2004,109.08,97.71,110.43,100.29,113.12,101.19,70.41
12/04/2004,109.08,97.71,110.43,100.29,113.12,101.19,70.41
13/04/2004,109.08,97.71,110.43,100.29,113.12,101.19,70.41
14/04/2004,109.08,97.71,110.43,100.29,113.12,101.19,70.41
15/04/2004,109.08,97.71,112.1,100.29,113.12,101.19,71.01
16/04/2004,109.08,97.71,112.1,100.29,113.12,101.19,71.01
19/04/2004,109.08,97.71,112.1,100.29,113.12,101.19,71.01
20/04/2004,109.08,97.71,112.1,100.29,113.12,101.19,71.01
21/04/2004,109.08,97.71,112.1,100.29,113.12,101.19,71.01
22/04/2004,109.08,97.71,112.1,100.07,113.12,101.19,71.01
23/04/2004,109.08,97.71,112.1,100.07,113.12,101.19,71.01
26/04/2004,109.08,97.71,112.1,100.07,113.12,101.19,71.01
27/04/2004,109.08,97.71,112.1,99.99,113.12,101.19,71.01
28/04/2004,109.08,97.71,112.1,99.99,113.12,101.19,71.01
29/04/2004,109.08,97.71,112.1,99.99,113.12,101.73,71.64
30/04/2004,109.08,97.71,112.1,99.99,113.12,101.73,71.64
3/05/2004,109.08,97.71,112.1,99.99,113.12,101.73,71.64
4/05/2004,109.08,97.71,112.1,100.61,113.12,101.73,71.64
5/05/2004,109.08,97.71,112.1,100.63,113.12,101.73,71.64
6/05/2004,109.08,97.71,112.1,100.63,113.12,101.73,73.02
7/05/2004,109.08,98.55,112.1,100.63,113.12,101.73,72.97
10/05/2004,109.08,98.55,112.1,100.63,113.12,101.73,72.97
11/05/2004,109.08,98.55,112.1,100.63,113.12,101.73,72.97
12/05/2004,109.08,98.55,112.1,100.63,113.72,101.73,72.97
13/05/2004,109.49,98.55,111.34,100.63,113.72,101.73,72.19
14/05/2004,109.49,98.55,113.09,100.51,113.72,101.73,72.19
17/05/2004,109.49,98.55,113.09,100.51,113.72,101.73,72.19
18/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.19
19/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.19
20/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.37
21/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.37
24/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.37
25/05/2004,109.49,98.55,112.99,100.51,113.72,101.73,72.37
26/05/2004,109.49,98.55,113.61,100.51,113.72,101.73,72.37
27/05/2004,109.49,98.55,113.61,100.51,113.72,101.73,72.25
28/05/2004,109.49,98.55,113.61,100.51,113.72,101.73,72.25
31/05/2004,109.49,98.55,113.61,100.51,113.72,101.73,72.25
1/06/2004,109.49,98.55,113.61,100.51,113.72,101.73,72.25
2/06/2004,109.49,98.55,113.61,100.87,113.72,101.73,72.25
3/06/2004,109.49,98.55,113.61,100.87,113.72,101.73,72.13
4/06/2004,109.49,99.17,113.61,100.87,113.72,101.73,72.12
7/06/2004,109.49,99.17,113.61,100.87,113.72,101.73,72.12
8/06/2004,109.49,99.17,113.61,101.05,113.72,101.73,72.12
9/06/2004,109.49,99.17,113.61,101.05,113.72,101.73,72.12
10/06/2004,109.35,99.17,113.43,101.01,113.72,101.73,72.6
11/06/2004,109.35,99.17,115.48,101.01,113.72,101.73,72.6
14/06/2004,109.35,99.17,116.1,101.01,113.72,101.73,72.6
15/06/2004,109.35,99.17,116.1,101.01,113.72,101.73,72.6
16/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.6
17/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.72
18/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.72
21/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.72
22/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.72
23/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.72
24/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.24
25/06/2004,109.35,99.17,116.1,101.01,114.38,101.73,72.24
28/06/2004,109.35,99.17,116.1,101.01,114.38,102.87,72.24
29/06/2004,109.35,99.17,116.1,101.01,114.38,102.87,72.24
30/06/2004,109.35,99.17,116.1,101.01,114.38,102.87,72.24
1/07/2004,109.35,99.17,116.1,101.01,114.38,102.87,72.26
2/07/2004,109.35,99.17,116.1,100.91,114.38,102.87,72.08
5/07/2004,109.35,99.17,116.1,100.91,114.38,102.87,72.08
6/07/2004,109.35,99.17,116.1,101.09,114.38,102.87,72.08
7/07/2004,109.35,99.17,116.1,101.09,114.38,102.87,72.08
8/07/2004,109.43,99.17,116.1,101.09,114.38,102.87,73.7
9/07/2004,109.43,98.83,115.92,101.09,114.38,102.87,73.7
12/07/2004,109.43,98.83,115.92,101.09,114.38,102.87,73.7
13/07/2004,109.43,98.83,115.78,101.09,114.38,102.87,73.7
14/07/2004,109.43,98.83,115.78,101.09,115.16,102.87,73.7
15/07/2004,109.43,98.83,116.3,101.09,115.16,102.87,73.4
16/07/2004,109.43,98.83,116.25,101.09,115.16,102.87,73.4
19/07/2004,109.43,98.83,116.25,101.09,115.16,102.87,73.4
20/07/2004,109.43,98.83,116.25,101.09,115.16,102.87,73.4
21/07/2004,109.43,98.83,116.25,101.09,115.16,102.87,73.4
22/07/2004,109.43,98.83,116.25,101.09,115.16,102.87,74.84
23/07/2004,109.43,98.83,116.25,101.83,115.16,102.87,74.84
26/07/2004,109.43,98.83,116.25,101.83,115.16,102.87,74.84
27/07/2004,109.43,98.83,116.25,101.83,115.16,102.87,74.84
28/07/2004,109.43,98.83,116.25,101.83,115.16,102.87,74.84
29/07/2004,109.43,98.83,116.25,101.83,115.16,103.49,74.48
30/07/2004,109.43,98.83,116.25,101.83,115.16,103.49,74.48
2/08/2004,109.43,98.83,116.25,102.17,115.16,103.49,74.48
3/08/2004,109.43,98.83,116.25,102.17,115.16,103.49,74.48
4/08/2004,109.43,98.83,116.25,101.55,115.16,103.49,74.48
5/08/2004,109.43,98.83,116.25,101.55,115.16,103.49,75.74
6/08/2004,109.43,98.6,116.25,101.55,115.16,103.49,75.86
9/08/2004,109.43,98.6,116.25,101.55,115.16,103.49,75.86
10/08/2004,109.43,98.6,116.17,101.55,115.16,103.49,75.86
11/08/2004,109.43,98.6,116.17,101.55,115.16,103.49,75.86
12/08/2004,109.48,98.6,116.87,101.55,115.16,103.49,76.61
13/08/2004,109.48,98.6,116.6,101.63,115.16,103.49,76.61
16/08/2004,109.48,98.6,116.6,101.63,115.16,103.49,76.61
17/08/2004,109.48,98.6,116.6,101.63,115.16,103.49,76.61
18/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.61
19/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.73
20/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.73
23/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.73
24/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.73
25/08/2004,109.48,98.6,116.8,101.63,115.16,103.49,76.73
26/08/2004,109.48,98.6,116.8,101.63,115.16,103.71,76.16
27/08/2004,109.48,98.6,116.8,101.63,115.16,103.71,76.16
30/08/2004,109.48,98.6,116.8,101.63,115.16,103.71,76.16
31/08/2004,109.48,98.6,116.8,101.63,115.16,103.71,76.16
1/09/2004,109.48,98.6,116.8,101.63,115.16,103.71,76.16
2/09/2004,109.48,98.6,116.8,100.91,115.16,103.71,76.28
3/09/2004,109.48,98.6,116.8,100.91,115.16,103.71,76.78
6/09/2004,109.48,98.6,116.8,100.91,115.16,103.71,76.78
7/09/2004,109.48,98.6,116.8,100.91,115.16,103.71,76.78
8/09/2004,109.48,98.6,116.8,100.91,115.16,103.71,76.78
9/09/2004,108.82,98.6,116.8,100.91,115.16,103.71,76.84
10/09/2004,108.82,98.22,117,100.91,115.16,103.71,76.84
13/09/2004,108.82,98.22,117.91,100.91,115.16,103.71,76.84
14/09/2004,108.82,98.22,117.73,100.91,115.16,103.71,76.84
15/09/2004,108.82,98.22,117.73,100.91,115.56,103.71,76.84
16/09/2004,108.82,98.22,117.51,100.91,115.56,103.71,77.32
17/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.32
20/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.32
21/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.32
22/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.32
23/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.17
24/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.17
27/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.17
28/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.17
29/09/2004,108.82,98.22,117.51,100.95,115.56,103.71,77.17
30/09/2004,108.82,98.22,117.51,100.95,115.56,103.7,77.38
1/10/2004,108.82,98.22,117.51,100.95,115.56,103.7,77.38
4/10/2004,108.82,98.22,117.51,100.95,115.56,103.7,77.38
5/10/2004,108.82,98.22,117.51,99.77,115.56,103.7,77.38
6/10/2004,108.82,98.22,117.51,99.77,115.56,103.7,77.38
7/10/2004,109.74,98.22,117.51,99.77,115.56,103.7,78.49
8/10/2004,109.74,98.72,117.51,99.77,115.56,103.7,78.48
11/10/2004,109.74,98.72,117.51,99.77,115.56,103.7,78.48
12/10/2004,109.74,98.72,117.51,99.77,115.56,103.7,78.48
13/10/2004,109.74,98.72,117.51,99.77,115.56,103.7,78.48
14/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,78.99
15/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,78.99
18/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,78.99
19/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,78.99
20/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,78.99
21/10/2004,109.74,98.72,117.69,99.77,115.56,103.7,80.37
22/10/2004,109.74,98.72,118.12,99.77,115.56,103.7,80.37
25/10/2004,109.74,98.72,118.12,99.77,115.56,103.7,80.37
26/10/2004,109.74,98.72,118.12,100.59,115.56,103.7,80.37
27/10/2004,109.74,98.72,118.12,100.59,115.56,103.7,80.37
28/10/2004,109.74,98.72,118.12,100.59,115.56,104.64,79.77
29/10/2004,109.74,98.72,118.12,100.59,115.56,104.64,79.77
1/11/2004,109.74,98.72,118.12,100.59,115.56,104.64,79.77
2/11/2004,109.74,98.72,118.12,100.59,115.56,104.64,79.77
3/11/2004,109.74,98.72,118.12,100.39,115.56,104.64,79.77
4/11/2004,109.74,98.72,118.12,100.59,115.56,104.64,80.73
5/11/2004,109.74,98.62,118.12,100.59,115.56,104.64,81.43
8/11/2004,109.74,98.62,118.12,100.59,115.56,104.64,81.43
9/11/2004,109.74,98.62,118.12,100.59,115.56,104.64,81.43
10/11/2004,109.74,98.62,118.02,100.59,115.56,104.64,81.19
11/11/2004,110.52,98.62,118.54,99.93,115.56,104.64,81.19
12/11/2004,110.52,98.62,118.32,99.93,115.56,104.64,81.19
15/11/2004,110.52,98.62,119.1,99.93,115.56,104.64,81.19
16/11/2004,110.52,98.62,119.1,99.93,115.56,104.64,81.19
17/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,81.19
18/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,82.14
19/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,82.14
22/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,82.14
23/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,82.14
24/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,83.58
25/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,83.58
26/11/2004,110.52,98.62,118.88,99.93,116.08,104.64,83.58
29/11/2004,110.52,98.62,118.88,99.93,116.08,105.14,83.58
30/11/2004,110.52,98.62,118.88,99.93,116.08,105.14,83.58
1/12/2004,110.52,98.62,118.88,99.93,116.08,105.14,83.58
2/12/2004,110.52,98.62,118.88,99.13,116.08,105.14,84.24
3/12/2004,110.52,98.22,118.88,99.13,116.08,105.14,84.13
6/12/2004,110.52,98.22,118.88,99.13,116.08,105.14,84.13
7/12/2004,110.52,98.22,118.88,99.13,116.08,105.14,84.13
8/12/2004,110.52,98.22,118.88,99.13,116.08,105.14,84.13
9/12/2004,111.03,98.22,119.37,99.13,116.08,105.14,83.23
10/12/2004,111.03,98.22,118.81,99.13,116.08,105.14,83.23
13/12/2004,111.03,98.22,118.48,99.13,116.08,105.14,83.23
14/12/2004,111.03,98.22,118.48,99.13,116.08,105.14,83.23
15/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,83.23
16/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.49
17/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.49
20/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.49
21/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.49
22/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.49
23/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.97
24/12/2004,111.03,98.22,118.48,99.13,115.96,105.14,84.97
27/12/2004,111.03,98.22,118.48,99.13,115.96,106.38,84.97
28/12/2004,111.03,98.22,118.48,99.13,115.96,106.38,84.97
29/12/2004,111.03,98.22,118.48,99.13,115.96,106.38,84.97
30/12/2004,111.03,98.22,118.48,99.13,115.96,106.38,84.85
31/12/2004,111.03,98.22,118.48,99.13,115.96,106.38,84.85
3/01/2005,111.03,98.22,118.48,99.13,115.96,106.38,84.85
4/01/2005,111.03,98.22,118.48,98.91,115.96,106.38,84.85
5/01/2005,111.03,98.22,118.48,99.29,115.96,106.38,84.85
6/01/2005,111.03,98.22,118.48,99.29,115.96,106.38,83.83
7/01/2005,111.03,98.82,118.48,99.29,115.96,106.38,83.95
10/01/2005,111.03,98.82,119.05,99.29,115.96,106.38,83.95
11/01/2005,111.03,98.82,119.05,99.29,115.96,106.38,83.95
12/01/2005,111.03,98.82,119.05,99.29,115.96,106.38,83.95
13/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.64
14/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.64
17/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.64
18/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.64
19/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.94
20/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.94
21/01/2005,111.79,98.82,119.05,99.29,115.96,106.38,84.94
24/01/2005,111.79,98.82,118.93,99.29,115.96,106.38,84.94
25/01/2005,111.79,98.82,119.24,99.29,115.96,106.38,84.94
26/01/2005,111.79,98.82,119.24,99.29,115.96,106.38,84.94
27/01/2005,111.79,98.82,119.24,99.29,115.96,107.52,84.64
28/01/2005,111.79,98.82,119.24,99.89,115.96,107.52,84.64
31/01/2005,111.79,98.82,119.24,99.89,115.96,107.52,84.64
1/02/2005,111.79,98.82,119.24,99.89,115.96,107.52,84.64
2/02/2005,111.79,98.82,119.24,98.59,115.96,107.52,84.64
3/02/2005,111.79,98.82,119.24,98.59,115.96,107.52,86.08
4/02/2005,111.79,98.44,119.24,98.59,115.96,107.52,86.34
7/02/2005,111.79,98.44,119.24,98.59,115.96,107.52,86.34
8/02/2005,111.79,98.44,119.71,98.59,115.96,107.52,86.34
9/02/2005,111.79,98.44,119.71,98.59,115.96,107.52,86.34
10/02/2005,112.81,98.44,119.71,98.59,115.96,107.52,86.94
11/02/2005,112.81,98.44,119.71,98.59,115.96,107.52,86.94
