date,leading_momentum
01/01/2004,3.54
02/01/2004,3.63
05/01/2004,3.72
06/01/2004,3.77
07/01/2004,3.8
08/01/2004,3.81
09/01/2004,3.81
12/01/2004,3.82
13/01/2004,3.83
14/01/2004,3.84
15/01/2004,3.87
16/01/2004,3.9
19/01/2004,3.92
20/01/2004,3.94
21/01/2004,3.95
22/01/2004,3.97
23/01/2004,4
26/01/2004,4.02
27/01/2004,4.05
28/01/2004,4.06
29/01/2004,4.09
30/01/2004,4.14
02/02/2004,4.2
03/02/2004,4.26
04/02/2004,4.32
05/02/2004,4.38
06/02/2004,4.45
09/02/2004,4.52
10/02/2004,4.61
11/02/2004,4.69
12/02/2004,4.75
13/02/2004,4.81
16/02/2004,4.87
17/02/2004,4.96
18/02/2004,5.05
19/02/2004,5.15
20/02/2004,5.25
23/02/2004,5.34
24/02/2004,5.43
25/02/2004,5.51
26/02/2004,5.59
27/02/2004,5.67
01/03/2004,5.75
02/03/2004,5.83
03/03/2004,5.91
04/03/2004,6
05/03/2004,6.08
08/03/2004,6.15
09/03/2004,6.23
10/03/2004,6.28
11/03/2004,6.32
12/03/2004,6.36
15/03/2004,6.39
16/03/2004,6.41
17/03/2004,6.43
18/03/2004,6.46
19/03/2004,6.48
22/03/2004,6.47
23/03/2004,6.47
24/03/2004,6.46
25/03/2004,6.45
26/03/2004,6.43
29/03/2004,6.39
30/03/2004,6.36
31/03/2004,6.3
01/04/2004,6.27
02/04/2004,6.23
05/04/2004,6.19
06/04/2004,6.15
07/04/2004,6.1
08/04/2004,6.07
09/04/2004,6.03
12/04/2004,6
13/04/2004,5.99
14/04/2004,5.92
15/04/2004,5.87
16/04/2004,5.81
19/04/2004,5.73
20/04/2004,5.67
21/04/2004,5.6
22/04/2004,5.54
23/04/2004,5.5
26/04/2004,5.46
27/04/2004,5.41
28/04/2004,5.37
29/04/2004,5.32
30/04/2004,5.3
03/05/2004,5.31
04/05/2004,5.34
05/05/2004,5.38
06/05/2004,5.41
07/05/2004,5.45
10/05/2004,5.49
11/05/2004,5.53
12/05/2004,5.56
13/05/2004,5.57
14/05/2004,5.58
17/05/2004,5.6
18/05/2004,5.63
19/05/2004,5.64
20/05/2004,5.65
21/05/2004,5.64
24/05/2004,5.6
25/05/2004,5.61
26/05/2004,5.6
27/05/2004,5.59
28/05/2004,5.6
31/05/2004,5.61
01/06/2004,5.62
02/06/2004,5.62
03/06/2004,5.59
04/06/2004,5.55
07/06/2004,5.51
08/06/2004,5.47
09/06/2004,5.43
10/06/2004,5.38
11/06/2004,5.31
14/06/2004,5.24
15/06/2004,5.15
16/06/2004,5.07
17/06/2004,5
18/06/2004,4.9
21/06/2004,4.81
22/06/2004,4.71
23/06/2004,4.64
24/06/2004,4.55
25/06/2004,4.47
28/06/2004,4.38
29/06/2004,4.3
30/06/2004,4.23
01/07/2004,4.15
02/07/2004,4.09
05/07/2004,4.01
06/07/2004,3.94
07/07/2004,3.89
08/07/2004,3.84
09/07/2004,3.8
12/07/2004,3.77
13/07/2004,3.73
14/07/2004,3.7
15/07/2004,3.68
16/07/2004,3.65
19/07/2004,3.63
20/07/2004,3.62
21/07/2004,3.6
22/07/2004,3.59
23/07/2004,3.58
26/07/2004,3.56
27/07/2004,3.55
28/07/2004,3.55
29/07/2004,3.54
30/07/2004,3.55
02/08/2004,3.56
03/08/2004,3.57
04/08/2004,3.58
05/08/2004,3.6
06/08/2004,3.62
09/08/2004,3.64
10/08/2004,3.66
11/08/2004,3.7
12/08/2004,3.76
13/08/2004,3.81
16/08/2004,3.86
17/08/2004,3.91
18/08/2004,3.95
19/08/2004,3.97
20/08/2004,3.99
23/08/2004,4
24/08/2004,4.04
25/08/2004,4.08
26/08/2004,4.1
27/08/2004,4.11
30/08/2004,4.12
31/08/2004,4.09
01/09/2004,4.07
02/09/2004,4.04
03/09/2004,4.02
06/09/2004,3.99
07/09/2004,3.95
08/09/2004,3.93
09/09/2004,3.91
10/09/2004,3.87
13/09/2004,3.83
14/09/2004,3.8
15/09/2004,3.74
16/09/2004,3.69
17/09/2004,3.62
20/09/2004,3.54
21/09/2004,3.44
22/09/2004,3.32
23/09/2004,3.19
24/09/2004,3.06
27/09/2004,2.94
28/09/2004,2.8
29/09/2004,2.67
30/09/2004,2.58
01/10/2004,2.48
04/10/2004,2.38
05/10/2004,2.27
06/10/2004,2.2
07/10/2004,2.13
08/10/2004,2.07
11/10/2004,2.04
12/10/2004,1.99
13/10/2004,1.96
14/10/2004,1.92
15/10/2004,1.88
18/10/2004,1.85
19/10/2004,1.81
20/10/2004,1.76
21/10/2004,1.76
22/10/2004,1.76
25/10/2004,1.77
26/10/2004,1.77
27/10/2004,1.78
28/10/2004,1.8
29/10/2004,1.85
01/11/2004,1.89
02/11/2004,1.94
03/11/2004,2
04/11/2004,2.06
05/11/2004,2.12
08/11/2004,2.18
09/11/2004,2.24
10/11/2004,2.26
11/11/2004,2.29
12/11/2004,2.33
15/11/2004,2.36
16/11/2004,2.39
17/11/2004,2.41
18/11/2004,2.46
19/11/2004,2.5
22/11/2004,2.55
23/11/2004,2.6
24/11/2004,2.63
25/11/2004,2.66
26/11/2004,2.67
29/11/2004,2.68
30/11/2004,2.67
01/12/2004,2.67
02/12/2004,2.66
03/12/2004,2.66
06/12/2004,2.66
07/12/2004,2.65
08/12/2004,2.66
09/12/2004,2.63
10/12/2004,2.63
13/12/2004,2.62
14/12/2004,2.62
15/12/2004,2.61
16/12/2004,2.61
17/12/2004,2.61
20/12/2004,2.62
21/12/2004,2.63
22/12/2004,2.63
23/12/2004,2.64
24/12/2004,2.64
27/12/2004,2.65
28/12/2004,2.66
29/12/2004,2.64
30/12/2004,2.6
31/12/2004,2.56
03/01/2005,2.52
04/01/2005,2.49
05/01/2005,2.46
06/01/2005,2.43
07/01/2005,2.4
10/01/2005,2.38
11/01/2005,2.34
12/01/2005,2.3
13/01/2005,2.28
14/01/2005,2.26
17/01/2005,2.25
18/01/2005,2.24
19/01/2005,2.25
20/01/2005,2.25
21/01/2005,2.25
24/01/2005,2.26
25/01/2005,2.27
26/01/2005,2.25
27/01/2005,2.24
28/01/2005,2.21
31/01/2005,2.2
01/02/2005,2.18
02/02/2005,2.17
03/02/2005,2.17
04/02/2005,2.16
07/02/2005,2.15
08/02/2005,2.15
09/02/2005,2.16
10/02/2005,2.18
11/02/2005,2.2
14/02/2005,2.21
15/02/2005,2.24
16/02/2005,2.27
17/02/2005,2.31
18/02/2005,2.36
21/02/2005,2.41
22/02/2005,2.46
23/02/2005,2.49
24/02/2005,2.5
25/02/2005,2.52
28/02/2005,2.53
01/03/2005,2.53
02/03/2005,2.54
03/03/2005,2.55
04/03/2005,2.55
07/03/2005,2.55
08/03/2005,2.56
09/03/2005,2.57
10/03/2005,2.57
11/03/2005,2.56
14/03/2005,2.55
15/03/2005,2.55
16/03/2005,2.55
17/03/2005,2.57
18/03/2005,2.57
21/03/2005,2.58
22/03/2005,2.59
23/03/2005,2.58
24/03/2005,2.57
25/03/2005,2.55
28/03/2005,2.53
29/03/2005,2.52
30/03/2005,2.51
31/03/2005,2.51
01/04/2005,2.51
04/04/2005,2.5
05/04/2005,2.49
06/04/2005,2.49
07/04/2005,2.48
08/04/2005,2.46
11/04/2005,2.46
12/04/2005,2.44
13/04/2005,2.43
14/04/2005,2.43
15/04/2005,2.41
18/04/2005,2.4
19/04/2005,2.4
20/04/2005,2.42
21/04/2005,2.44
22/04/2005,2.46
25/04/2005,2.47
26/04/2005,2.47
27/04/2005,2.44
28/04/2005,2.43
29/04/2005,2.41
02/05/2005,2.38
03/05/2005,2.36
04/05/2005,2.35
05/05/2005,2.32
06/05/2005,2.29
09/05/2005,2.26
10/05/2005,2.22
11/05/2005,2.17
12/05/2005,2.13
13/05/2005,2.08
16/05/2005,2.03
17/05/2005,1.97
18/05/2005,1.92
19/05/2005,1.87
20/05/2005,1.82
23/05/2005,1.78
24/05/2005,1.73
25/05/2005,1.7
26/05/2005,1.7
27/05/2005,1.7
30/05/2005,1.7
31/05/2005,1.69
01/06/2005,1.67
02/06/2005,1.63
03/06/2005,1.58
06/06/2005,1.53
07/06/2005,1.5
08/06/2005,1.45
09/06/2005,1.43
10/06/2005,1.41
13/06/2005,1.4
14/06/2005,1.37
15/06/2005,1.38
16/06/2005,1.38
17/06/2005,1.4
20/06/2005,1.4
21/06/2005,1.39
22/06/2005,1.37
